Participant,SnippetID,CL
10,16,4.45845572552972
11,1,1.92121379560611
11,2,2.92391451574175
11,3,5.60979101708862
11,4,3.99172040766617
11,5,2.83372805646395
11,6,5.82696428689568
11,7,2.61598581537547
11,8,3.90418508618968
11,9,1.39028689979394
11,10,3.10144079393688
11,11,6.07425722150006
11,12,4.37481603671066
11,13,2.80698230467453
11,14,4.82892033927731
11,15,3.92569701957659
11,16,3.40349076772363
13,1,9.78401636724072
13,2,9.31510008535651
13,3,8.0570243753696
13,4,10.760235248542
13,5,9.08229577343636
13,6,8.25402694765815
13,7,10.8786908008389
13,8,13.549777916215
13,9,2.8418794108898
13,10,8.69277082202398
13,11,31.8932020026742
13,12,7.54589622585873
13,13,9.56725985920163
13,14,10.6531328627029
13,15,8.14087689941831
13,16,7.11368701472916
14,1,4.02308991520377
14,2,6.4975096737649
14,3,10.4584097093615
14,4,13.0731413357612
14,5,10.9763420187215
14,6,13.1913851417062
14,7,3.50014198615706
14,8,6.31357920809265
14,9,7.69127099181534
14,10,7.54469677754189
14,11,9.74466764753286
14,12,10.0703924168058
14,13,10.1902271911853
14,14,6.44003842879332
14,15,13.4230189958702
14,16,6.49538726642567
15,1,11.2752433782624
15,2,14.5913972119285
15,3,6.25382865478383
15,4,15.1339125127651
15,5,10.0484420184928
15,6,10.9082590343207
15,7,6.40570176568014
15,8,10.5172420539319
15,10,8.11578420835709
15,11,8.43343175524242
15,12,6.7543543080769
15,13,9.22024949150316
15,14,7.05789085250433
15,15,16.6261640576666
15,16,10.6815352394102
16,1,2.70920411966066
16,2,3.34613016253356
16,3,12.186469311607
16,4,4.8582372388281
16,5,5.64388828081767
16,6,4.86124499165114
16,7,4.27999219935994
16,8,14.9434064790189
16,9,5.93890082084001
16,10,9.67325268172945
16,11,4.04368540744904
16,12,5.17061114604297
16,13,6.78510047227446
16,14,3.52062376588439
16,15,3.09615799320368
16,16,3.82255625397417
17,1,12.0498269338481
17,2,7.25490945445623
17,3,4.90713940231575
17,4,8.59433036726845
17,5,10.3217225344398
17,6,5.87969969621678
17,7,4.28375025815053
17,8,56.8306841316009
17,9,12.593446833781
17,10,8.078552174133
17,11,35.8620131752125
17,12,6.02405645748765
17,13,7.23836619449827
17,14,4.66885893879979
17,15,3.96753523285365
17,16,4.58733953471663
18,1,3.8931324020031
18,2,3.30431957559974
18,3,5.42373912477616
18,4,4.77613979491963
18,5,3.53181328912628
18,6,5.89807086979287
18,7,4.22768096693917
18,8,3.55728826300231
18,9,5.55566864250486
18,10,12.2615690627409
18,11,3.37034880820062
18,12,4.77457449367838
18,13,4.53443410077606
18,14,5.0781405345912
18,15,4.83025029610606
18,16,5.09093429901754
19,1,2.73463697569413
19,2,4.44295143077944
19,3,5.08193843894045
19,4,2.41773479375012
19,5,44.0713393209859
19,6,4.4238256647608
19,7,2.35171324299779
19,8,3.03084914881742
19,9,6.21675524291671
19,10,1.5509157096445
19,11,3.54414264685846
19,12,3.69769217177907
19,13,5.2878786844217
19,14,4.62565170154394
19,15,2.88032881203317
19,16,5.04476596246212
20,1,14.0944137489656
20,2,10.2647426481068
20,3,8.8241398777044
20,4,8.87866654279154
20,5,11.0018443003993
20,6,12.3133680668317
20,7,10.6584261024549
20,8,6.4353413072558
20,9,13.5788312471269
20,10,8.01605386015219
20,11,9.13763925424756
20,12,6.66625356607426
20,13,8.2307119549725
20,14,18.3137936025764
20,15,16.5191525234204
20,16,16.5882646280309
21,1,8.98436785238625
21,2,13.0375603431341
21,3,6.18784782415153
21,4,5.59550406356463
21,5,11.4293811023651
21,6,5.49508758289829
21,7,5.64514513238394
21,8,8.9463991684223
21,9,6.86097274808732
21,10,15.9293202939376
21,11,8.53349582329321
21,12,6.66455484603749
21,13,6.83412943958091
21,14,16.9182768864448
21,15,7.86771712787498
21,16,7.92898103326307
22,1,5.21638807030652
22,2,8.01296267511184
22,3,3.76530634249183
22,4,5.9526913655491
22,5,4.81885973290287
22,6,4.42030703661572
22,7,4.72471602790154
22,8,5.63024103395406
22,9,4.98790220518309
22,10,4.45486600668168
22,11,4.92847230636306
22,12,9.25721088012246
22,13,5.51355795491316
22,14,3.12845021593207
22,15,4.14336605098204
