subject,ID,manual_cl,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold,eeg_cl_fzpz34,eeg_cl_fz34pz34,eeg_cl_fzpz
11,2,2.0,10,10,6,2,6,5,10,10,6,2,4,9,2.4853872898915106,1.798194901421468,2.6310039953002677
11,3,2.0,7,13,6,2,6,5,7,12,6,2,4,10,4.308978520515079,2.5568269092797697,4.476800269136797
11,4,2.0,15,17,8,2,8,7,15,17,8,2,4,9,3.5231185232039737,2.1260956620904548,3.5347564142356234
11,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,2.3473837176487966,1.6724015415955806,2.6330318826400427
11,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,2.117489730798686,1.4981417876581085,2.434539403206189
11,7,3.0,6,23,7,2,13,10,6,21,7,2,4,10,2.99522629942103,1.960897134529119,3.354268577091042
11,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,1.4142909878343402,1.3471890612857196,1.6076461556292587
11,9,1.0,12,12,9,7,14,8,12,12,9,7,4,7,2.4457014076484787,1.773734912317928,3.1396091575575067
11,10,6.0,15,23,9,3,10,8,15,23,9,3,4,11,5.234935331664058,3.103665274504749,5.408046033375468
11,11,2.0,10,27,11,2,5,6,10,27,11,2,4,12,3.2011101767095456,2.105817063161682,4.098234451963115
11,12,2.0,5,17,7,3,8,6,5,16,7,3,4,8,3.2066301341008305,2.2797746151499316,4.246851621557434
11,13,2.0,8,16,6,3,7,5,8,15,6,3,4,7,2.6653188726152717,1.8151045657127391,2.9513384427103824
12,1,5.0,10,12,6,2,7,6,10,12,6,2,4,7,7.192864464127948,3.6370986765895084,7.632140633594846
12,2,5.0,10,10,6,2,6,5,10,10,6,2,4,9,5.345807260007648,2.5424043124549534,6.99956828698773
12,3,6.0,7,13,6,2,6,5,7,12,6,2,4,10,4.737726978722384,2.5823695134312983,6.2733892363139745
12,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,6.036392593956192,2.9166467654811807,7.971485770088943
12,5,4.0,15,18,9,3,10,5,15,18,9,3,5,10,6.344264216570522,3.081893024465107,6.88064404863088
12,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,7.207133671067917,3.534107114795878,8.884310921892821
12,7,3.0,6,23,7,2,13,10,6,21,7,2,4,10,8.477437809082714,4.238240798013126,10.234303436704351
12,8,1.0,4,7,6,1,2,3,5,7,6,1,3,6,2.005869680089991,1.1819071607659115,2.667311916301632
12,9,2.0,12,12,9,7,14,8,12,12,9,7,4,7,4.0656234119248005,2.0701712507185994,6.706730731312052
12,10,6.0,15,23,9,3,10,8,15,23,9,3,4,11,16.89555059526319,6.992684647666006,22.423330876687476
12,11,4.0,10,27,11,2,5,6,10,27,11,2,4,12,5.399035505590959,2.696046177840849,6.022914940728129
12,12,3.0,5,17,7,3,8,6,5,16,7,3,4,8,5.883146410144074,3.185380672774375,9.035059524837248
12,13,3.0,8,16,6,3,7,5,8,15,6,3,4,7,4.4197598230563155,2.1275742044463812,5.403901816311436
13,1,3.0,10,12,6,2,7,6,10,12,6,2,4,7,0.9953091542239708,1.21254802455344,
13,2,4.0,10,10,6,2,6,5,10,10,6,2,4,9,1.055003108168403,1.51001838515348,
13,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,1.1818219184411283,1.698046590254582,
13,4,4.0,15,17,8,2,8,7,15,17,8,2,4,9,1.0220236672581107,1.7772487687784375,
13,5,5.0,15,18,9,3,10,5,15,18,9,3,5,10,1.3388919148487806,2.1564567006746542,
13,6,3.0,4,21,5,4,5,11,4,20,11,5,4,13,0.6507410579790354,0.9088953135456649,
13,7,6.0,6,23,7,2,13,10,6,21,7,2,4,10,1.1648622091137786,1.7969368356963566,
13,8,3.0,4,7,6,1,2,3,5,7,6,1,3,6,1.115712401672803,1.8012474435073877,
13,9,3.0,12,12,9,7,14,8,12,12,9,7,4,7,1.3548636857252108,1.6541582894243767,
13,10,8.0,15,23,9,3,10,8,15,23,9,3,4,11,1.3229504109413832,1.9249727277655693,
