subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
12,8,2.00586968008999,4,7,6,1,2,3,5,7,6,1,3,6
12,9,4.06562341192479,12,12,9,7,14,8,12,12,9,7,4,7
12,10,16.8955505952631,15,23,9,3,10,8,15,23,9,3,4,11
12,11,5.39903550559093,10,27,11,2,5,6,10,27,11,2,4,12
12,12,5.88314641014407,5,17,7,3,8,6,5,16,7,3,4,8
12,13,4.41975982305629,8,16,6,3,7,5,8,15,6,3,4,7
13,1,0.995309154223964,10,12,6,2,7,6,10,12,6,2,4,7
13,2,1.0550031081684,10,10,6,2,6,5,10,10,6,2,4,9
13,3,1.18182191844113,7,13,6,2,6,5,7,12,6,2,4,10
13,4,1.02202366725811,15,17,8,2,8,7,15,17,8,2,4,9
13,5,1.33889191484878,15,18,9,3,10,5,15,18,9,3,5,10
13,6,0.65074105797904,4,21,5,4,5,11,4,20,11,5,4,13
13,7,1.16486220911378,6,23,7,2,13,10,6,21,7,2,4,10
13,8,1.1157124016728,4,7,6,1,2,3,5,7,6,1,3,6
13,9,1.3548636857252,12,12,9,7,14,8,12,12,9,7,4,7
13,10,1.32295041094137,15,23,9,3,10,8,15,23,9,3,4,11
13,11,1.18328909529618,10,27,11,2,5,6,10,27,11,2,4,12
13,12,1.25408522433376,5,17,7,3,8,6,5,16,7,3,4,8
13,13,0.938190212813283,8,16,6,3,7,5,8,15,6,3,4,7
14,1,4.33430103874471,10,12,6,2,7,6,10,12,6,2,4,7
14,2,5.36791688988299,10,10,6,2,6,5,10,10,6,2,4,9
14,3,2.22450999890365,7,13,6,2,6,5,7,12,6,2,4,10
14,4,5.49358939033165,15,17,8,2,8,7,15,17,8,2,4,9
14,5,3.31494359220218,15,18,9,3,10,5,15,18,9,3,5,10
14,6,2.40761259724428,4,21,5,4,5,11,4,20,11,5,4,13
14,7,3.29284186393791,6,23,7,2,13,10,6,21,7,2,4,10
14,8,,4,7,6,1,2,3,5,7,6,1,3,6
14,9,2.56184233899667,12,12,9,7,14,8,12,12,9,7,4,7
14,10,3.07848504626685,15,23,9,3,10,8,15,23,9,3,4,11
14,11,2.15277910287283,10,27,11,2,5,6,10,27,11,2,4,12
14,12,2.19908301972374,5,17,7,3,8,6,5,16,7,3,4,8
14,13,3.38117954280032,8,16,6,3,7,5,8,15,6,3,4,7
15,1,2.73301768031106,10,12,6,2,7,6,10,12,6,2,4,7
15,2,2.82200584570576,10,10,6,2,6,5,10,10,6,2,4,9
15,3,6.41180934000816,7,13,6,2,6,5,7,12,6,2,4,10
15,4,3.2649542777459,15,17,8,2,8,7,15,17,8,2,4,9
15,5,4.14589864698404,15,18,9,3,10,5,15,18,9,3,5,10
15,6,3.08333972345127,4,21,5,4,5,11,4,20,11,5,4,13
15,7,9.17405680760175,6,23,7,2,13,10,6,21,7,2,4,10
15,8,3.88905163682022,4,7,6,1,2,3,5,7,6,1,3,6
15,9,5.29202268799268,12,12,9,7,14,8,12,12,9,7,4,7
15,10,3.04360814418604,15,23,9,3,10,8,15,23,9,3,4,11
15,11,3.55568008706606,10,27,11,2,5,6,10,27,11,2,4,12
15,12,2.86468107388461,5,17,7,3,8,6,5,16,7,3,4,8
15,13,2.6460170677876,8,16,6,3,7,5,8,15,6,3,4,7
16,1,7.58570507417997,10,12,6,2,7,6,10,12,6,2,4,7
16,2,5.0404091876804,10,10,6,2,6,5,10,10,6,2,4,9
16,3,3.02345870429384,7,13,6,2,6,5,7,12,6,2,4,10
16,4,6.2697019421247,15,17,8,2,8,7,15,17,8,2,4,9
16,5,6.03494168574784,15,18,9,3,10,5,15,18,9,3,5,10
16,6,2.57864658109281,4,21,5,4,5,11,4,20,11,5,4,13
16,7,33.2844993328335,6,23,7,2,13,10,6,21,7,2,4,10
16,8,8.624480456128,4,7,6,1,2,3,5,7,6,1,3,6
16,9,4.78773357249748,12,12,9,7,14,8,12,12,9,7,4,7
16,10,20.8105637939759,15,23,9,3,10,8,15,23,9,3,4,11
16,11,3.73192223254809,10,27,11,2,5,6,10,27,11,2,4,12
16,12,3.33126959956512,5,17,7,3,8,6,5,16,7,3,4,8
16,13,2.81872027080111,8,16,6,3,7,5,8,15,6,3,4,7
17,1,2.65446713318908,10,12,6,2,7,6,10,12,6,2,4,7
17,2,2.91365394826616,10,10,6,2,6,5,10,10,6,2,4,9
17,3,3.30887103705944,7,13,6,2,6,5,7,12,6,2,4,10
17,4,3.03119084974436,15,17,8,2,8,7,15,17,8,2,4,9
17,5,2.82475915165668,15,18,9,3,10,5,15,18,9,3,5,10
17,6,2.99606056714211,4,21,5,4,5,11,4,20,11,5,4,13
17,7,2.68569409116128,6,23,7,2,13,10,6,21,7,2,4,10
17,8,3.72110388941542,4,7,6,1,2,3,5,7,6,1,3,6
17,9,7.84826465414616,12,12,9,7,14,8,12,12,9,7,4,7
17,10,2.68263231007213,15,23,9,3,10,8,15,23,9,3,4,11
17,11,3.45595576081024,10,27,11,2,5,6,10,27,11,2,4,12
17,12,4.428641683753,5,17,7,3,8,6,5,16,7,3,4,8
17,13,3.83471039869671,8,16,6,3,7,5,8,15,6,3,4,7
18,1,1.67267949109325,10,12,6,2,7,6,10,12,6,2,4,7
18,2,2.30428054207781,10,10,6,2,6,5,10,10,6,2,4,9
18,3,2.63407882259376,7,13,6,2,6,5,7,12,6,2,4,10
18,4,1.54835827956641,15,17,8,2,8,7,15,17,8,2,4,9
18,5,24.0461002261289,15,18,9,3,10,5,15,18,9,3,5,10
18,6,1.96373868654166,4,21,5,4,5,11,4,20,11,5,4,13
18,7,1.65713165542132,6,23,7,2,13,10,6,21,7,2,4,10
18,8,3.4710768323649,4,7,6,1,2,3,5,7,6,1,3,6
18,9,0.817069477304608,12,12,9,7,14,8,12,12,9,7,4,7
18,10,2.38669086301023,15,23,9,3,10,8,15,23,9,3,4,11
18,11,2.2667477093112,10,27,11,2,5,6,10,27,11,2,4,12
18,12,3.14178282937315,5,17,7,3,8,6,5,16,7,3,4,8
18,13,3.76677573310353,8,16,6,3,7,5,8,15,6,3,4,7
19,1,8.62179470440708,10,12,6,2,7,6,10,12,6,2,4,7
19,2,7.22485800323331,10,10,6,2,6,5,10,10,6,2,4,9
19,3,6.72380442210377,7,13,6,2,6,5,7,12,6,2,4,10
19,4,7.24578160080362,15,17,8,2,8,7,15,17,8,2,4,9
19,5,6.58929633475422,15,18,9,3,10,5,15,18,9,3,5,10
19,6,8.04550601900294,4,21,5,4,5,11,4,20,11,5,4,13
19,7,5.20288250530398,6,23,7,2,13,10,6,21,7,2,4,10
19,8,8.03718833370878,4,7,6,1,2,3,5,7,6,1,3,6
19,9,5.19261942133522,12,12,9,7,14,8,12,12,9,7,4,7
19,10,6.63254628235008,15,23,9,3,10,8,15,23,9,3,4,11
19,11,7.73377171833766,10,27,11,2,5,6,10,27,11,2,4,12
19,12,12.6411802737261,5,17,7,3,8,6,5,16,7,3,4,8
19,13,16.0567783674618,8,16,6,3,7,5,8,15,6,3,4,7
20,1,7.26843586644474,10,12,6,2,7,6,10,12,6,2,4,7
20,2,11.422397567234,10,10,6,2,6,5,10,10,6,2,4,9
20,3,4.48015482892733,7,13,6,2,6,5,7,12,6,2,4,10
20,4,4.55113331696315,15,17,8,2,8,7,15,17,8,2,4,9
20,5,10.0385512711422,15,18,9,3,10,5,15,18,9,3,5,10
20,6,5.02377434395194,4,21,5,4,5,11,4,20,11,5,4,13
20,7,6.75890115420236,6,23,7,2,13,10,6,21,7,2,4,10
20,8,4.80507490875575,4,7,6,1,2,3,5,7,6,1,3,6
20,9,10.6782316612087,12,12,9,7,14,8,12,12,9,7,4,7
20,10,6.41820762527555,15,23,9,3,10,8,15,23,9,3,4,11
20,11,5.4384808355798,10,27,11,2,5,6,10,27,11,2,4,12
20,12,10.8050140149776,5,17,7,3,8,6,5,16,7,3,4,8
20,13,5.27405464861235,8,16,6,3,7,5,8,15,6,3,4,7
21,1,3.75667266094656,10,12,6,2,7,6,10,12,6,2,4,7
21,2,5.94264147610852,10,10,6,2,6,5,10,10,6,2,4,9
21,3,3.04083742577163,7,13,6,2,6,5,7,12,6,2,4,10
21,4,4.09859688254192,15,17,8,2,8,7,15,17,8,2,4,9
21,5,3.82818096551199,15,18,9,3,10,5,15,18,9,3,5,10
21,6,4.41789688648334,4,21,5,4,5,11,4,20,11,5,4,13
21,7,4.11486284220882,6,23,7,2,13,10,6,21,7,2,4,10
21,8,3.50535576473081,4,7,6,1,2,3,5,7,6,1,3,6
21,9,3.70573334121393,12,12,9,7,14,8,12,12,9,7,4,7
21,10,3.45213426016915,15,23,9,3,10,8,15,23,9,3,4,11
21,11,6.07831611360317,10,27,11,2,5,6,10,27,11,2,4,12
21,12,3.00233974191856,5,17,7,3,8,6,5,16,7,3,4,8
21,13,,8,16,6,3,7,5,8,15,6,3,4,7
