subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
11,2,2,10,12,6,2,7,6,10,12,6,2,4,9
11,3,2,7,13,6,2,6,5,7,12,6,2,4,10
11,4,2,15,17,8,2,8,7,15,17,8,2,4,9
11,5,5,15,18,9,3,10,5,15,18,9,3,5,10
11,6,3,4,21,5,4,5,11,4,20,11,5,4,13
11,7,3,6,23,7,2,13,10,6,21,7,2,4,10
11,8,2,4,7,6,1,2,3,5,7,6,1,3,6
11,9,1,12,12,9,7,14,8,12,12,9,7,4,7
11,10,6,15,23,9,3,10,8,15,23,9,3,4,11
11,11,2,10,27,11,2,5,6,10,27,11,2,4,12
11,12,2,5,17,7,3,8,6,5,16,7,3,4,8
11,13,2,8,16,6,3,7,5,8,15,6,3,4,7
12,1,5,10,10,6,2,6,5,10,10,6,2,4,7
12,2,5,10,12,6,2,7,6,10,12,6,2,4,9
12,3,6,7,13,6,2,6,5,7,12,6,2,4,10
12,4,5,15,17,8,2,8,7,15,17,8,2,4,9
12,5,4,15,18,9,3,10,5,15,18,9,3,5,10
12,6,3,4,21,5,4,5,11,4,20,11,5,4,13
12,7,3,6,23,7,2,13,10,6,21,7,2,4,10
12,8,1,4,7,6,1,2,3,5,7,6,1,3,6
12,9,2,12,12,9,7,14,8,12,12,9,7,4,7
12,10,6,15,23,9,3,10,8,15,23,9,3,4,11
12,11,4,10,27,11,2,5,6,10,27,11,2,4,12
12,12,3,5,17,7,3,8,6,5,16,7,3,4,8
12,13,3,8,16,6,3,7,5,8,15,6,3,4,7
13,1,3,10,10,6,2,6,5,10,10,6,2,4,7
13,2,4,10,12,6,2,7,6,10,12,6,2,4,9
13,3,3,7,13,6,2,6,5,7,12,6,2,4,10
13,4,4,15,17,8,2,8,7,15,17,8,2,4,9
13,5,5,15,18,9,3,10,5,15,18,9,3,5,10
13,6,3,4,21,5,4,5,11,4,20,11,5,4,13
13,7,6,6,23,7,2,13,10,6,21,7,2,4,10
13,8,3,4,7,6,1,2,3,5,7,6,1,3,6
13,9,3,12,12,9,7,14,8,12,12,9,7,4,7
13,10,8,15,23,9,3,10,8,15,23,9,3,4,11
13,11,5,10,27,11,2,5,6,10,27,11,2,4,12
13,12,5,5,17,7,3,8,6,5,16,7,3,4,8
13,13,4,8,16,6,3,7,5,8,15,6,3,4,7
14,1,4,10,10,6,2,6,5,10,10,6,2,4,7
