Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P21,F3,6,0.578155569706587,-1.03692390078825,0.994101292470209
P21,F7,7,0.640926685275267,0.417807511777804,0.582171492861233
P21,T4,8,0.503110510101932,-2.77610607997601,1
P21,C4,9,0.534588579234239,-2.0465964072733,1
P21,Cz,10,0.654213856957444,0.725740003579257,0.996647635362681
P21,C3,11,0.460581461526368,-3.76172410426823,1
P21,T3,12,0.469205358583881,-3.56186380491489,0.873082338566571
P21,T6,13,0.65259524878564,0.688228480471422,0.996410404055922
P21,P4,14,0.666048073076298,1,0.999848917165846
P21,Pz,15,0.64934466744426,0.612895698130901,0.00813566174522623
P21,P3,16,0.631626273382575,0.202268864622511,0.981513244004887
P21,T5,17,0.566262497427722,-1.31254789885236,0.98834961616025
P21,O2,18,0.647681504489855,0.574351610263895,0.994376291741061
P21,O1,19,0.622898447635849,0,0.947917818577168
P22,Fp2,1,0.598810653901376,1.14939679624474,0.965924195436294
P22,Fp1,2,0.592884216370078,1.05060949451343,0.959338081243999
P22,F8,3,0.469864264844577,-1,0.960321262047505
P22,F4,4,0.47084909408831,-0.983583962010794,0.820639216372375
P22,Fz,5,0.363287412923086,-2.77652081418891,1
P22,F3,6,0.412263499482149,-1.96014243932581,0.953810565550599
P22,F7,7,0.550922595469487,0.35115467310514,0.869868690447792
P22,T4,8,0.340569748001174,-3.15519970980196,1
P22,C4,9,0.37959593589298,-2.50467538075429,1
P22,Cz,10,0.52985616084167,0,0.99591977661404
P22,C3,11,0.380730974229686,-2.48575551969905,1
P22,T3,12,0.396157078703528,-2.22861904788975,1
P22,T6,13,0.545749129251581,0.264918588515372,0.983542726702562
P22,P4,14,0.575441729011387,0.759862101573286,0.915128835765589
P22,Pz,15,0.491265845236241,-0.64325880961154,0.305165766828359
P22,P3,16,0.591071181859904,1.02038817078227,0.996187028114431
P22,T5,17,0.54485372474132,0.249993164082966,0.961605045084892
P22,O2,18,0.577769907507396,0.798670318205102,0.983430257084252
P22,O1,19,0.579291564229446,0.824034689454913,0.965387708732206
