Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P2,P4,14,0.733322436900926,1.07840370573482,0.988590807155403
P2,Pz,15,0.562339275493721,-1.14128600283986,0.00920332550314256
P2,P3,16,0.728572501573819,1.01674042570653,0.980024023305262
P2,T5,17,0.724153747105325,0.959376509062855,0.995521694227818
P2,O2,18,0.635052483081752,-0.197328965010725,0.986531221922075
P2,O1,19,0.747814425854127,1.26653754576593,0.973629226428016
P3,Fp2,1,0.503409289418955,0.753613075619556,0.908604690795329
P3,Fp1,2,0.488050890597683,0.370425873754639,0.905791425629578
P3,F8,3,0.313534458923924,-3.9837040007669,1
P3,F4,4,0.461977510623564,-0.2800967250989,0.905276954462957
P3,Fz,5,0.314120767307362,-3.96907579170071,0.640298992444322
P3,F3,6,0.431899963494096,-1.03052203034217,0.972328234984458
P3,F7,7,0.481087212652317,0.196684307486867,0.860588371986863
P3,T4,8,0.254171223912405,-5.46479797302444,1
P3,C4,9,0.259912719085821,-5.32154948106737,1
P3,Cz,10,0.537377749317357,1.60111542606649,0.991451806728901
P3,C3,11,0.281304334692455,-4.78783542512537,1
P3,T3,12,0.313066841167669,-3.99537091615612,1
P3,T6,13,0.450053769318973,-0.577590306261741,0.987411981636361
P3,P4,14,0.490125796900984,0.422194130963377,0.810043193856305
P3,Pz,15,0.477141065529625,0.098229182594732,0.759017971484836
P3,P3,16,0.493462500490133,0.505443832098089,0.979471369575944
P3,T5,17,0.473203974325026,0,0.921492107317934
P3,O2,18,0.513284641806938,1,0.988629966912741
P3,O1,19,0.513812524935463,1.01317051740125,0.959687453448079
P4,Fp2,1,0.538366879545088,0.986495113981814,0.935047743876281
P4,Fp1,2,0.525646652521205,0.754111198488623,0.956421405638683
P4,F8,3,0.414659806218582,-1.2734908139299,0.904685408703347
P4,F4,4,0.479847857631092,-0.0825801012383132,0.966699005909323
P4,Fz,5,0.30980523427911,-3.18906322776403,1
P4,F3,6,0.446220999247826,-0.69690412251301,0.93767324459017
P4,F7,7,0.551940747680282,1.23447407062483,-0.339729173709351
P4,T4,8,0.300158469276176,-3.36529852757556,1
P4,C4,9,0.374971773260486,-1.99854552244326,0.964167021541898
P4,Cz,10,0.527124495737104,0.781109694061909,0.981352157180901
P4,C3,11,0.317499421994387,-3.04849926892441,1
P4,T3,12,0.301929362164696,-3.33294635158211,1
P4,T6,13,0.516038509699374,0.578581481498295,0.974864737484936
P4,P4,14,0.539106109778464,1,0.999570478638836
P4,Pz,15,0.424357463918357,-1.09632576308958,-0.0687706688965586
P4,P3,16,0.531859830581843,0.867618814561562,0.984152187978922
P4,T5,17,0.484368125882779,0,0.979054069215497
P4,O2,18,0.491225890839825,0.125283477194091,0.961003060988618
P4,O1,19,0.549368393100075,1.18748011145546,0.947757953899656
P5,Fp2,1,0.437692169630525,0.103187802548738,1
P5,Fp1,2,0.470025319953823,0.567057039428668,1
P5,F8,3,0.288663590041347,-2.03485853058325,1
P5,F4,4,0.33631305257607,-1.35125301727222,0.574694308740833
P5,Fz,5,0.405988203449444,-0.351654811036255,0.828251143717011
P5,F3,6,0.493403222075333,0.902449338308509,0.99125501532088
P5,F7,7,0.519997538308119,1.28398609092605,0.987492177516963
P5,T4,8,0.337312652053447,-1.33691221094434,1
P5,C4,9,0.361216117223219,-0.993979894228564,1
P5,Cz,10,0.396005106496686,-0.494877835049399,0.975467582639286
P5,C3,11,0.295794637049696,-1.93255259067815,1
P5,T3,12,0.317196983206007,-1.6255027090644,1
P5,T6,13,0.487805125101924,0.822135946477829,0.995097120990011
P5,P4,14,0.506995961477807,1.09745828704031,0.966000397766019
P5,Pz,15,0.430499654011727,0,0.998903635130943
P5,P3,16,0.500202811178985,1,0.943785719037101
P5,T5,17,0.430033334204993,-0.00669008156424012,0.953330187851951
P5,O2,18,0.519031448484765,1.27012603260709,0.999453066511091
P5,O1,19,0.502489445309158,1.03280531647492,0.965809242547971
P6,Fp2,1,0.55763184050325,1.07085871861125,0.937096228487469
P6,Fp1,2,0.564723709250815,1.23209815634032,0.953373948573374
P6,F8,3,0.394291782041967,-2.64281113659799,0.854529780273463
P6,F4,4,0.470933280973412,-0.900303959112059,0.820373641393068
P6,Fz,5,0.479750540395092,-0.699836352890313,0.896008176090569
P6,F3,6,0.536115242167896,0.581661253045315,0.985146304433166
P6,F7,7,0.553963476172169,0.98745545450939,-0.322401723457166
P6,T4,8,0.334578861261338,-4.00043324080509,1
P6,C4,9,0.317111381800349,-4.39757067623792,1
P6,Cz,10,0.557950094835389,1.07809449121161,0.986925053394392
P6,C3,11,0.320911861212919,-4.311163667677,0.909165450102318
P6,T3,12,0.332183214676449,-4.05490022575568,0.90219079782164
P6,T6,13,0.510531766312115,0,0.981430489507068
P6,P4,14,0.564097214592457,1.21785428775653,0.93520752925133
P6,Pz,15,0.497464270392402,-0.297100210060288,0.0244602778660369
P6,P3,16,0.554515228717144,1,0.947541491626172
P6,T5,17,0.49251486691316,-0.409628947194837,0.951968560297789
P6,O2,18,0.535530630783552,0.568369634960309,0.974039506206261
P6,O1,19,0.549393023264429,0.883542468631832,0.911505852669535
P7,Fp2,1,0.711701072895169,0.910241792484907,0.975486376614732
P7,Fp1,2,0.71885089081958,1,0.987989994346097
P7,F8,3,0.466714829274625,-2.16529472127145,1
P7,F4,4,0.478994068055138,-2.01114219959315,0.838271980898616
P7,Fz,5,0.536771473652705,-1.28580955250517,1
P7,F3,6,0.504361024830578,-1.69268757678345,0.99747291554447
P7,F7,7,0.695751302137423,0.710009723832628,0.634759795308848
P7,T4,8,0.489335496447578,-1.88131678509107,1
P7,C4,9,0.535393070515111,-1.30311390852818,1
P7,Cz,10,0.71394027711884,0.938352572298016,0.996009712616661
P7,C3,11,0.495944412221032,-1.79834901728007,1
P7,T3,12,0.508871835488825,-1.63605924255108,1
P7,T6,13,0.649597771203186,0.130602212907701,0.974860317150261
P7,P4,14,0.655049510105147,0.199042880467863,0.928330082893468
P7,Pz,15,0.469063763423858,-2.13580640128413,0.998299711569824
P7,P3,16,0.697842984441329,0.736268525983198,0.991371381361086
P7,T5,17,0.662468580423345,0.292181259686763,0.969959261557077
P7,O2,18,0.698033209268903,0.738656592326756,0.998959489517814
P7,O1,19,0.639194465826815,0,0.941916012783581
P8,Fp2,1,0.483374113153741,1,0.927822821804941
P8,Fp1,2,0.502942578744039,1.44606284439112,0.969954033482811
P8,F8,3,0.378031551358789,-1.40128192641743,0.913110768639551
P8,F4,4,0.400052812595766,-0.899307646465897,0.93305604654464
P8,Fz,5,0.323795486034992,-2.63759212433659,1
