Participant,SnippetID,SurveyCL,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI
21,9,1,12,12,9,7,14,8
21,10,9,15,23,9,3,10,8
21,11,3,10,27,11,2,5,6
21,12,7,5,17,7,3,8,6
21,13,4,8,16,6,3,7,5
22,1,2,10,12,6,2,7,6
22,2,2,10,10,6,2,6,5
22,3,2,7,13,6,2,6,5
22,4,2,15,17,8,2,8,7
22,5,1,15,18,9,3,10,5
22,6,3,4,21,11,5,5,11
22,7,5,6,23,7,2,13,10
22,8,2,4,7,6,1,2,3
22,9,2,12,12,9,7,14,8
22,10,8,15,23,9,3,10,8
22,11,4,10,27,11,2,5,6
22,12,3,5,17,7,3,8,6
22,13,3,8,16,6,3,7,5
